Rank,Nickname,Points,Prize
1,Fenggugui,1796.00,25.00
2,Grizs,1702.00,20.00
3,Tarlund,1501.00,17.00
4,ALI-VENTURA,1269.50,14.00
5,ForeverYong,1170.00,11.00
6,nurpix,1155.00,9.00
7,IwanPower,976.50,8.00
8,Bruh960118,951.00,7.00
9,Lomocat,813.00,6.00
10,ewpdfr,771.00,5.00
11,tyvaoglu17,758.00,4.00
12,Propaganda,735.00,3.50
13,suyanyan01,659.00,3.50
14,CrazyFolds,623.00,3.00
15,ANTIGIPATIYA,602.00,2.50
16,Lucky Guy86,598.50,2.50
17,gomito10,583.00,2.50
18,Vitaliee,579.00,2.50
19,GgHME,573.00,2.00
20,Apica,567.00,2.00
21,hrun,555.50,2.00
22,Little fellow,554.50,2.00
23,rakemashina,546.00,1.80
24,Alex--,539.50,1.80
25,MIXAPRO,536.00,1.80
26,Pohla,488.00,1.60
27,MaggieQueen,471.50,1.60
28,A Nazarov,459.00,1.60
29,masterML,458.50,1.60
30,BlueDream96,452.00,1.40
31,PROFETA,450.50,1.40
32,coffeedrinker,444.00,1.40
33,pinchunlong,442.00,1.40
34,TriggerWarning,442.00,1.20
35,Kid Tiger,440.00,1.20
36,Dumok77,439.00,1.20
37,dalajlama666,437.00,1.00
38,yyypp520,433.00,1.00
39,JustBetBetter,432.00,1.00
40,AAbeatKK,427.00,1.00
41,Nubodav,423.00,0.80
42,MrRedCrow,409.00,0.80
43,Plazebo,407.00,0.80
44,yichen88_hk,406.00,0.80
45,AA Andreev,401.00,0.80
46,K i T,388.50,0.80
47,liumangxing,387.00,0.80
48,noligan,383.00,0.80
49,bambaleiloo,382.00,0.80
50,BabyGato,380.00,0.80
51,Lego-D,374.00,0.80
52,mArcosvzb,372.00,0.80
53,cheburek,371.00,0.80
54,treeefidddy,370.50,0.80
55,PTJames,365.50,0.80
56,Otto_Dark,357.00,0.80
57,Lilyzoo,357.00,0.80
58,Manantiales,356.00,0.80
59,gambito,354.00,0.80
60,FABIOLAreg,353.00,0.80
61,princess1987,346.50,0.60
62,Gun-N,346.00,0.60
63,Scuffed,343.00,0.60
64,Jack689,333.50,0.60
65,Alex_Taichev,333.00,0.60
66,KatyaPolyntseva,333.00,0.60
67,szuga,327.00,0.60
68,Asyon,323.00,0.60
69,Sankaku,322.00,0.60
70,0SH0,322.00,0.60
71,Jisooisthequeen,317.00,0.60
72,TonyClifton28,317.00,0.60
73,Jeff Beson,315.50,0.60
74,tristim,315.00,0.60
75,Alanm1999,312.00,0.60
76,mookhin,310.00,0.60
77,David Waa,309.00,0.60
78,Paulhachi,308.00,0.60
79,ll Juro-Jin ll,308.00,0.60
80,Michael Hiraki,306.00,0.60
81,Jesus B,305.00,0.40
82,LongRunPoker,305.00,0.40
83,KostromaReg44,293.50,0.40
84,Major Lazer,291.00,0.40
85,Borghild,290.00,0.40
86,Rafinha15k,290.00,0.40
87,HZQ88,289.00,0.40
88,GGgray,288.00,0.40
89,bronnyf1sh,287.00,0.40
90,asmadas123,285.50,0.40
91,v23fsdf,284.00,0.40
92,OneandonlY-,281.00,0.40
93,selfvself,278.50,0.40
94,Gubkabro,276.00,0.40
95,RaczekPol,272.00,0.40
96,al210584,271.00,0.40
97,kuriboh77777,270.00,0.40
98,Danil Penza,270.00,0.40
99,Shenjisfc,269.50,0.40
100,ethysy,266.00,0.40
101,KSV2903,264.00,0.40
102,phoen1x13,264.00,0.40
103,prodek,264.00,0.40
104,LosHerbertos,262.00,0.40
105,wor1d,261.00,0.40
106,poker_ccg,260.00,0.40
107,kolacar84,258.50,0.40
108,FearlessBear,258.00,0.40
109,r3oP,257.00,0.40
110,Tresca,256.00,0.40
111,LycanthropeWolf,252.00,0.30
112,11110asd,252.00,0.30
113,NoSkillNoLuck91,249.00,0.30
114,misanto,249.00,0.30
115,kas_i_ko_,248.00,0.30
116,AtilaElHun0,247.00,0.30
117,SemionMK,242.00,0.30
118,A6blpBaJIr,241.00,0.30
119,Deerslayer,241.00,0.30
120,BalanceLove,241.00,0.30
121,Tenshi96,241.00,0.30
122,manha11an,239.00,0.30
123,ym1eee,239.00,0.30
124,Merazzi,238.50,0.30
125,Redsunteam,237.50,0.30
126,BT619,234.50,0.30
127,Franky499,232.50,0.30
128,MihaiMe,232.00,0.30
129,Paluha13,231.00,0.30
130,ludusvadevilis,231.00,0.30
131,dijiaoqiao,230.50,0.30
132,BalistaHai,229.00,0.30
133,Hill Sky,228.50,0.30
134,aa507,228.00,0.30
135,strongbaby,228.00,0.30
136,PapaCapuleti,227.00,0.30
137,Den Spassk,224.50,0.30
138,Emperor3,223.00,0.30
139,GavoRmz,222.50,0.30
140,A_NN_A,222.50,0.30
141,ElProfemagic,222.00,0.20
142,A Starostin,217.00,0.20
143,2ndRunner,216.00,0.20
144,lasa19,213.00,0.20
145,BangoPerez,213.00,0.20
146,asutea,212.00,0.20
147,Gingin7777,211.00,0.20
148,NevaPokerro,210.50,0.20
149,JaguarXjl,209.50,0.20
150,erikconc,209.00,0.20
151,Aidar33,208.00,0.20
152,RiverWillS@ve,208.00,0.20
153,WinLWin,207.50,0.20
154,SOKOLSKOE,207.00,0.20
155,KoFiK,207.00,0.20
156,Yetiii,206.00,0.20
157,Delta8-THC,205.00,0.20
158,B1bik,205.00,0.20
159,Zayago,202.00,0.20
160,hemitori488,201.00,0.20
161,meny1102,201.00,0.20
162,EShabardin,200.00,0.20
163,Uca75,200.00,0.20
164,maklaud22,199.00,0.20
165,Danarol,198.00,0.20
166,Exerman,198.00,0.20
167,TC2786,198.00,0.20
168,BosworthNoah,196.00,0.20
169,youtuy,196.00,0.20
170,888WizBrazil888,194.50,0.20
171,Ganjalf94,193.50,0.20
172,SexyTanya69,192.00,0.20
173,han_rastaban,191.00,0.20
174,Biss321,191.00,0.20
175,YourMoneyTaker,190.00,0.20
176,timmybwee,189.00,0.20
177,KingK@ng,188.50,0.20
178,tauro88,188.50,0.20
179,A Gyurcsina,188.00,0.20
180,morilka!,188.00,0.20
181,Stone Rose,188.00,0.20
182,PICHO_DURO_,188.00,0.20
183,johanlol,187.00,0.20
184,Nine9_Nine9,187.00,0.20
185,Dragomirghio,186.00,0.20
186,A Tolstik,186.00,0.20
187,Fokatop,186.00,0.20
188,Jutex33,185.50,0.20
189,pilobar,184.00,0.20
190,Fer21-poker,184.00,0.20
191,Alexisse,182.00,0.20
192,smeryx,181.50,0.20
193,0SKOLIN,181.00,0.20
194,ek1ek1,180.00,0.20
195,Eduard1789,179.50,0.20
196,carlosdator,179.00,0.20
197,Richard97,178.00,0.20
198,Yuretski,177.00,0.20
199,Metod92,177.00,0.20
200,furtadopos,177.00,0.20
201,neotkuda,176.00,0.10
202,xuan1530,175.00,0.10
203,Anykey30,173.00,0.10
204,INSERTCOINS,173.00,0.10
205,slm2934,173.00,0.10
206,nekus,172.00,0.10
207,Obi_UK,172.00,0.10
208,Gosu10,172.00,0.10
209,LittleLuckPlz,171.00,0.10
210,mimige666,170.50,0.10
211,GGtjcn,170.00,0.10
212,HiroOtani,170.00,0.10
213,BSN@,170.00,0.10
214,ag3nt911,170.00,0.10
215,Teddyshh,170.00,0.10
216,boxlifestyle,170.00,0.10
217,vlad548,167.00,0.10
218,octan101,165.50,0.10
219,DTQ6666,165.00,0.10
220,Lucio Lulo,165.00,0.10
221,HardBoiledEgg,165.00,0.10
222,Upstream,165.00,0.10
223,Kerya74,164.50,0.10
224,RaynerZagri,164.00,0.10
225,Admiral_Goodok,164.00,0.10
226,Tiamat777,164.00,0.10
227,munkh_mxm,164.00,0.10
228,Elatleta,164.00,0.10
229,PeNGuiN!!,163.00,0.10
230,El_Pianista,163.00,0.10
231,Makclmka,163.00,0.10
232,Dadada0217,163.00,0.10
233,Motley,162.00,0.10
234,dunamar,162.00,0.10
235,millar108,162.00,0.10
236,kirimbei,161.00,0.10
237,Elcherlfafas,161.00,0.10
238,Marcmen,160.50,0.10
239,Sapran17,160.50,0.10
240,mksm197201,160.00,0.10
241,OllyPokerDog,159.00,0.10
242,syveliy8282,159.00,0.10
243,Zukone01,159.00,0.10
244,xRaiseYoux,158.00,0.10
245,pokerPanko3,158.00,0.10
246,smoker_36,158.00,0.10
247,Tiancai1,157.00,0.10
248,A1batross,155.00,0.10
249,angrypandaa,155.00,0.10
250,MM572,155.00,0.10
251,gan6959,154.50,0.10
252,Kogi44,154.00,0.10
253,Hero201412,153.00,0.10
254,Terza552,153.00,0.10
255,Dzudo,152.00,0.10
256,bigwhaIe,152.00,0.10
257,utur96,152.00,0.10
258,Bydelak,152.00,0.10
259,Bundie,151.00,0.10
260,AnnaDat,151.00,0.10
261,okkakiy,151.00,0.10
262,iKUNikun33,151.00,0.10
263,Jeff Yuan999,151.00,0.10
264,vorgidon,149.00,0.10
265,Semtoni,149.00,0.10
266,cichyAK,149.00,0.10
267,captain888,148.50,0.10
268,WarGodAres!!,148.00,0.10
269,mantecoso,148.00,0.10
270,TheSunWillRise,148.00,0.10
271,boypoker76,148.00,0.10
272,LOL32212,148.00,0.10
273,Mountaintwin,147.00,0.10
274,Out of space1,146.00,0.10
275,Fish3ndChips,146.00,0.10
276,oldboys,145.00,0.10
277,sharkmurder1,145.00,0.10
278,JulianeJaque,144.50,0.10
279,Kody-,144.50,0.10
280,Googlebudfuntim,144.50,0.10
281,mmdtg,144.00,0.10
282,leemur25,144.00,0.10
283,HarryChenQ,143.00,0.10
284,Nevada-],143.00,0.10
285,shura1970,142.00,0.10
286,Nechayson,142.00,0.10
287,And3688,142.00,0.10
288,rochinha55,141.00,0.10
289,T@v@T,141.00,0.10
290,klingande7,140.50,0.10
291,Guksa,140.50,0.10
292,nicknametaken,140.00,0.10
293,LucasG06,139.00,0.10
294,BigFly@,139.00,0.10
295,Kol_Al_Ol,138.50,0.10
296,storm26,138.50,0.10
297,kiatokid18,138.00,0.10
298,Ivan Pestryakov,138.00,0.10
