Rank,Nickname,Points,Prize
1,nvxia,2704.50,25.00
2,allin123go,2519.00,21.00
3,RAGE-,2281.00,18.00
4,FiLTHy RICH,2028.00,15.00
5,1morebeer,1563.00,13.00
6,iamFisherman,1465.00,11.00
7,Maho211,1457.00,9.00
8,SHOWED666,1290.00,8.00
9,piji17,1265.50,7.00
10,KosVik777,1223.00,6.00
11,timliu1988,1027.00,5.00
12,EVGENY1104,934.00,4.50
13,jimobanzhiyan,901.00,4.00
14,srngd,889.50,3.50
15,LEILA0225,883.50,3.50
16,P@X M@N,879.00,3.00
17,Gin6gg,870.00,3.00
18,Krakenius,843.00,2.50
19,maohongqi,840.00,2.50
20,kungfufighting,826.50,2.50
21,PolloLoco06,820.00,2.50
22,Power-bank,807.00,2.50
23,EvGeniy01,797.00,2.00
24,TRIETTRI,761.50,2.00
25,KISSFACE,757.00,2.00
26,jiahua-Lv,745.00,1.80
27,ShaBi-GG,745.00,1.80
28,ThePrindiMaker,742.00,1.80
29,oreomilkshake-,737.00,1.60
30,al210584,734.00,1.60
31,MARUSENbKAAA,721.50,1.60
32,Robot001,721.00,1.40
33,NAGIBAT0R,718.00,1.40
34,Leonid Zhuk,712.50,1.40
35,liangyuxing,702.00,1.40
36,xiaogoupi1,699.00,1.40
37,zafksm,694.00,1.20
38,dashjkg,692.00,1.20
39,273ksSCM@@2026,684.00,1.20
40,Bali2020,682.00,1.20
41,TryMe27,679.00,1.00
42,BluffersGame,669.00,1.00
43,eoright119,665.50,1.00
44,NicknameMaster,662.00,1.00
45,Soldier9,658.50,1.00
46,Van4ester,657.00,1.00
47,ALL-INA89,617.00,1.00
48,staratel17rus,616.00,1.00
49,zaj11,608.00,1.00
50,Orias,599.00,1.00
51,fjdfg,592.50,0.80
52,DayOneToday,588.00,0.80
53,Ilya Dzerve,585.00,0.80
54,Unsurpassed,583.00,0.80
55,Hao Yun Lai,576.00,0.80
56,joker1296,571.50,0.80
57,shuishangp886,569.00,0.80
58,Little brother,566.00,0.80
59,peresito,550.00,0.80
60,zyt668899,549.00,0.80
61,Val888,544.00,0.60
62,Leo-2046,531.50,0.60
63,wenzhoulang,528.00,0.60
64,dianaz35,523.00,0.60
65,Jefe!,521.50,0.60
66,JoePuke,515.50,0.60
67,yes yes nooo,507.00,0.60
68,candybox,504.00,0.60
69,Kadiee,499.00,0.60
70,rvrfx,498.50,0.60
71,zalet,491.00,0.60
72,PITUCA,491.00,0.60
73,BIG FISH AK,485.00,0.60
74,YeLin2029,485.00,0.60
75,zasuvac,484.00,0.60
76,ANIKEILANI,483.00,0.60
77,ChickenBoyYy,482.50,0.60
78,xiaopanzi,481.00,0.60
79,g0316,479.00,0.60
80,YJJHAHA,478.00,0.60
81,Dikkevis,478.00,0.40
82,Zhizhii,477.00,0.40
83,skvmsdkvmfdk,463.50,0.40
84,LuckyAnton,456.00,0.40
85,QYJJZ,456.00,0.40
86,hhgdts,454.00,0.40
87,DavidGianG,445.00,0.40
88,KUKHF199,437.50,0.40
89,Eddy_AA,422.50,0.40
90,ahsjsj1000,419.00,0.40
91,zhengwendan,418.00,0.40
92,fafaalltime,417.50,0.40
93,66JJ,412.00,0.40
94,Chernobaevka,411.00,0.40
95,Lennyhro,409.50,0.40
96,Agent_Chucha,408.50,0.40
97,hahapoker-,404.00,0.40
98,helltck,403.00,0.40
99,MaskedMaverick,401.00,0.40
100,OOOOOOOOOOOOO,399.00,0.40
101,Muneco10,399.00,0.30
102,Akkardionych,395.00,0.30
103,Kizelgur,394.00,0.30
104,zaj999,394.00,0.30
105,6ixth Man,394.00,0.30
106,liumangxing,392.50,0.30
107,Ackerman_68,392.00,0.30
108,HYIP,391.00,0.30
109,99JIUJIU,388.00,0.30
110,Trosken,384.50,0.30
111,yydsdeshen,382.00,0.30
112,syttj,382.00,0.30
113,mansurio0909,373.00,0.30
114,kuverer,370.00,0.30
115,FragmatiGG,366.50,0.30
116,jeff chan,364.50,0.30
117,Hakuna Matata!!,361.00,0.30
118,MLH1688,359.50,0.30
119,avramia1,357.50,0.30
120,OLD FISHHHHHH,357.00,0.30
121,Myrunbetter,356.00,0.20
122,Wrongtimes_,354.00,0.20
123,TomerJC7,353.50,0.20
124,xiaoer18,348.50,0.20
125,GGLIXAO,348.00,0.20
126,SantixFame,346.00,0.20
127,jiangzhou999,346.00,0.20
128,Boltazar,344.00,0.20
129,lneitralka2,343.00,0.20
130,izidorrr,341.00,0.20
131,SU777,341.00,0.20
132,Getshomehigh,340.00,0.20
133,Mr @,339.00,0.20
134,Sukh@,339.00,0.20
135,starsisbetter,338.00,0.20
136,krownk,337.00,0.20
137,TomiokaSD,336.00,0.20
138,IwannabluffU,333.00,0.20
139,Matheus Silva,332.00,0.20
140,Ironfish!,331.00,0.20
141,Santa14,328.00,0.20
142,251094200901,327.00,0.20
143,Ye001,324.50,0.20
144,evis,321.50,0.20
145,JuulM,319.00,0.20
146,saneeeeek,318.00,0.20
147,Evansfoldem,317.50,0.20
148,ZZZK17,317.00,0.20
149,CrossTheRiver,317.00,0.20
150,LovGZW,315.00,0.20
