Rank,Nickname,Points,Prize
1,all in is a dog,37478.00,90.00
2,kaisandadi,33750.00,70.00
3,SHOKS,29465.00,65.00
4,betterman14,28528.00,60.00
5,FON4ME,27052.00,55.00
6,breakingGrieven,26689.00,50.00
7,TessssHong,26411.00,45.00
8,dfdsg,26253.00,40.00
9,DUNDERBICEPS,25078.00,35.00
10,Wayennn,24380.00,35.00
11,ZY8822,21665.00,30.00
12,13XIII13,21184.00,25.00
13,Liamjames,19937.00,20.00
14,CPDiin,18779.00,15.00
15,BlueBull99,18258.00,10.00
16,NAIBISHUI,17576.00,10.00
17,nicoblaer,17487.00,9.00
18,Polarizing1337,17439.00,9.00
19,LawlessHeaven,16931.00,9.00
20,Dianfu Zhao,16780.00,9.00
21,Attack3r9,16686.00,9.00
22,paomarou,16623.00,8.00
23,Slow Mobius,15698.00,8.00
24,RRunintheRRain,15603.00,8.00
25,Namooo,15552.00,8.00
26,exploit@gto,15070.00,8.00
27,izft,14486.00,7.00
28,Neo53,14339.00,7.00
29,Yaoooooooo,14025.00,7.00
30,telll1993,13950.00,7.00
31,SeanMZ,13728.00,7.00
32,XXXXX888,13471.00,7.00
33,Edward Morra,13056.00,6.00
34,Hancel,12983.00,6.00
35,unst0pabl3,12746.00,6.00
36,Tian Qi,12601.00,6.00
37,sanches24,12457.00,6.00
38,locphat79,12389.00,6.00
39,bacon1008,12283.00,6.00
40,Mumu7,12277.00,6.00
41,techchang,12131.00,6.00
42,LockMyClock,12059.00,6.00
43,Coldweather__,11960.00,6.00
44,Avav777,11958.00,6.00
45,PING777,11880.00,6.00
46,Z_E_V_S,11843.00,6.00
47,hsrf,11721.00,6.00
48,Bluff4life,11614.00,6.00
49,Viktor Frankl,11609.00,6.00
50,FairPlayJack,11552.00,6.00
51,liomessigoat,11321.00,6.00
52,4eVR_,11065.00,6.00
53,Cacago,11065.00,6.00
54,Jeckeld86,10849.00,6.00
55,kid27149,10675.00,6.00
56,Samukooo,10598.00,6.00
57,gena-gol,10478.00,6.00
58,Outcognito,10228.00,6.00
59,caipangzi,10133.00,6.00
60,w2nctb,10130.00,6.00
61,Gear Up,10059.00,6.00
62,FourKingBell,10029.00,6.00
63,BTN_Advantage,9977.00,6.00
64,onlybluff_river,9851.00,6.00
65,sixihappy,9846.00,6.00
66,slabii,9717.00,6.00
67,an_nea,9500.00,6.00
68,Ackerrman,9459.00,6.00
69,xiajiaojiaojiao,9110.00,6.00
70,BigBadWolf@,8905.00,6.00
71,Joker_86,8894.00,6.00
72,qingwochi3b,8864.00,6.00
73,Pilot_Pain,8810.00,6.00
74,yanguo111,8807.00,6.00
75,CC629,8789.00,6.00
76,CHIKAMANEKYA,8767.00,6.00
77,FoldToLife,8724.00,6.00
78,PizzaSimo99,8708.00,6.00
79,Mystery-Value,8672.00,6.00
80,pilikitt9527,8615.00,6.00
81,workingfish,8601.00,5.00
82,redrabbit,8551.00,5.00
84,ARCHI52,8506.00,5.00
85,heuehuhueuhuehu,8412.00,5.00
86,irvinjose,8398.00,5.00
87,IntoTheWild,8392.00,5.00
88,SphericalC,8391.00,5.00
89,Madkrav_,8335.00,5.00
90,Fish910s,8324.00,5.00
91,brave0818,8322.00,5.00
92,Luoda16,8322.00,5.00
93,Gentleman001,8317.00,5.00
94,Anton_Mashirov,8239.00,5.00
95,shudao1,8236.00,5.00
96,sunny20266,8210.00,5.00
97,Mugiwara15,8150.00,5.00
98,cheezypop,8149.00,5.00
99,Summerrain,8139.00,5.00
100,sunny2066111,8124.00,5.00
102,GeoBot,8090.00,5.00
103,HeronDC,8072.00,5.00
104,tianlanqing,7936.00,5.00
105,Pachacutec4,7931.00,5.00
106,Scugnizzopoker,7833.00,5.00
107,SEGA-,7773.00,5.00
108,notToday66,7745.00,5.00
109,Kurt1x,7722.00,5.00
110,lvies,7702.00,5.00
111,Harden13,7655.00,5.00
112,OMAHAK1NG,7641.00,5.00
113,Vahe Avetisyan,7610.00,5.00
114,Maririmo1,7591.00,5.00
115,IaMSe7en,7590.00,5.00
116,longthat6666,7544.00,5.00
117,na1530,7495.00,5.00
118,wwyxi,7428.00,5.00
119,TonyPoker0409,7399.00,5.00
120,ig0tWORMS,7337.00,5.00
121,hahaheihei,7285.00,5.00
122,HeaveNgot,7142.00,5.00
123,zaozao36,7109.00,5.00
124,N8Poker_NN,7051.00,5.00
125,SapsanRF,7045.00,5.00
126,Jiu Shu,7012.00,5.00
127,Minty99,6997.00,5.00
128,sha ren mo,6934.00,5.00
129,MIAWU,6872.00,5.00
130,DoubleMid,6862.00,5.00
131,Ethan008,6856.00,5.00
132,j83s86a15a18,6800.00,5.00
133,victor 2394,6791.00,5.00
134,Jackrazparac,6783.00,5.00
135,keltix,6782.00,5.00
136,fishlovepoke,6756.00,5.00
137,JxHashimoto,6754.00,5.00
138,YourLuckSucks,6738.00,5.00
139,GHG88J,6735.00,5.00
140,Woooooe,6698.00,5.00
141,linkBto,6685.00,5.00
142,HEIDAN047,6623.00,5.00
143,RRbxg94,6597.00,5.00
144,RA2E,6573.00,5.00
145,Zese24,6566.00,5.00
146,LiYiving,6556.00,5.00
147,sunyi321,6537.00,5.00
148,seeseeKSQ,6531.00,5.00
149,wdtrader,6517.00,5.00
150,Brent sisiren,6516.00,5.00
151,downyr,6508.00,5.00
152,Peter Lew!s,6486.00,5.00
153,Duplicity,6472.00,5.00
154,Doublepoker1,6441.00,5.00
155,GregoVzla,6435.00,5.00
156,C--3PO,6432.00,5.00
157,hnbhnbaa,6318.00,5.00
158,czz233,6276.00,5.00
159,herotiger,6275.00,5.00
160,DLastGr1nder,6252.00,5.00
161,charles_w,6248.00,5.00
162,happy814,6125.00,5.00
163,dabenxiong,6108.00,5.00
164,quanlll,6068.00,5.00
165,SpaiSy,6062.00,5.00
166,Qsys1990,6056.00,5.00
167,viliforpres,6020.00,5.00
168,fish_Maker,6001.00,5.00
169,Felix Hu,6001.00,5.00
170,Odin1Eye,5974.00,5.00
171,Gabriel Leclerc,5970.00,5.00
172,W1PG05,5935.00,5.00
173,play-it-smart,5840.00,5.00
174,InsidiousCow,5807.00,5.00
175,Mistic_,5794.00,5.00
176,ougmike,5766.00,5.00
177,DuzyNiedzwiedz,5760.00,5.00
178,0linfen,5725.00,5.00
179,cg222,5704.00,5.00
180,hohoaaakiller,5635.00,5.00
181,cathy09,5635.00,4.00
182,1ndio,5625.00,4.00
183,javierelas,5616.00,4.00
184,chuisilt,5611.00,4.00
185,PIPOCA,5597.00,4.00
186,Fullclock,5523.00,4.00
187,Angler_Fish,5504.00,4.00
188,ShunM777,5468.00,4.00
189,SOMA-9000,5452.00,4.00
190,Richard1013,5445.00,4.00
191,Fringg,5421.00,4.00
192,liuyang2024,5420.00,4.00
193,Silent_Stack,5411.00,4.00
194,Hellblade-,5355.00,4.00
195,Medoukazch1k,5351.00,4.00
196,gaodeding66,5311.00,4.00
197,happydayz987,5303.00,4.00
198,liaochang,5292.00,4.00
199,Lisy on ok,5284.00,4.00
200,Pixel01,5280.00,4.00
201,fL0RIDA,5273.00,4.00
202,dingdezhu88,5266.00,4.00
203,Sxxsj,5239.00,4.00
204,fangi0,5199.00,4.00
205,zenaku-27,5197.00,4.00
206,WujekCzesko,5184.00,4.00
207,TTPH1,5132.00,4.00
209,Defqon_1,5126.00,4.00
210,mint21,5118.00,4.00
211,HEISENBERGBRO,5072.00,4.00
212,UpHead369,5058.00,4.00
213,Javisson,5057.00,4.00
214,TTT0909,5047.00,4.00
215,DukeNukemF,5038.00,4.00
216,K O H A N,5037.00,4.00
217,linuspoker,5001.00,4.00
218,Royal99904,5000.00,4.00
219,sipsi97,4998.00,4.00
220,Nat_Poker,4995.00,4.00
221,Silas18,4986.00,4.00
222,Slaziss1,4973.00,4.00
223,ztsst,4965.00,4.00
224,Bluff3bet,4953.00,4.00
225,Qsyj,4946.00,4.00
226,showmeubluff1,4941.00,4.00
227,MaxYan,4907.00,4.00
228,oldmike65,4875.00,4.00
229,KIDsDD,4858.00,4.00
230,cc1245690,4834.00,4.00
231,Knight Star,4827.00,4.00
232,2Hours,4824.00,4.00
233,wsny,4793.00,4.00
234,HBforever,4771.00,4.00
235,Ruby777,4757.00,4.00
236,usagipoker,4732.00,4.00
237,jstd0it,4729.00,4.00
238,INA00a51,4724.00,4.00
239,Embrosse,4693.00,4.00
240,xiaohappy,4666.00,4.00
241,konstantin4303,4663.00,4.00
